"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Venus Pipes & Tubes Ltd","VENUSPIPES","543528","Basic Materials","863580000","853920000","0.14","600000","","","/mutual-fund/holding-history/10901/877861/"
"Stanley Lifestyles Ltd","STANLEY","544202","Consumer Cyclical","854854329.6","849295000","0.13","2526912","","","/mutual-fund/holding-history/10901/2350518/"
"Premier Energies Ltd","PREMIERENE","544238","Technology","846026370","845708000","0.13","796635","-28089","-3.41","/mutual-fund/holding-history/10901/2571009/"
"Fineotex Chemical Ltd","FCL","533333","Basic Materials","983565635.6","845222000","0.13","3541828","-500000","-12.37","/mutual-fund/holding-history/10901/1562/"
"Seamec Ltd","SEAMECLTD","526807","Industrials","796906089.7","843528000","0.13","911479","","","/mutual-fund/holding-history/10901/1198/"
"Pokarna Ltd","POKARNA","532486","Industrials","797884329","799657000","0.13","738645","","","/mutual-fund/holding-history/10901/3854/"
"Sharda Motor Industries Ltd","SHARDAMOTR","535602","Consumer Cyclical","872673015","789283000","0.13","414670","","","/mutual-fund/holding-history/10901/1769/"
"Raymond Ltd","RAYMOND","500330","Consumer Cyclical","905228733","780032000","0.12","1238343","","","/mutual-fund/holding-history/10901/1115/"
"JK Tyre & Industries Ltd","JKTYRE","530007","Consumer Cyclical","761368875.3","773597000","0.12","2072598","","","/mutual-fund/holding-history/10901/687/"
"ICRA Ltd","ICRA","532835","Financial Services","734969112","729342000","0.12","108211","","","/mutual-fund/holding-history/10901/586/"
"Apeejay Surrendra Park Hotels Ltd","PARKHOTELS","544111","Consumer Cyclical","761593625","711842000","0.11","4715750","-38676","-0.81","/mutual-fund/holding-history/10901/1985406/"
"Subros Ltd","SUBROS","517168","Consumer Cyclical","1003936233.6","704745000","0.11","968256","","","/mutual-fund/holding-history/10901/1302/"
"Landmark Cars Ltd","LANDMARK","543714","Consumer Cyclical","794737487.5","693177000","0.11","1510190","","","/mutual-fund/holding-history/10901/1241144/"
"Clean Science and Technology Ltd","CLEAN","543318","Basic Materials","639149026","677502000","0.11","437324","","","/mutual-fund/holding-history/10901/580869/"
"Bajel Projects Ltd","BAJEL","544042","Utilities","734119664.9","667863000","0.11","3152081","63074","2.04","/mutual-fund/holding-history/10901/1845603/"
"Aditya Birla Fashion and Retail Ltd","ABFRL","535755","Consumer Cyclical","597912735.9","665769000","0.11","7755029","","","/mutual-fund/holding-history/10901/1029/"
"Indoco Remedies Ltd","INDOCO","532612","Healthcare","865804338.3","650404000","0.1","2594559","","","/mutual-fund/holding-history/10901/614/"
"Divgi TorqTransfer Systems Ltd","DIVGIITTS","543812","Consumer Cyclical","728523829","642171000","0.1","1152910","","","/mutual-fund/holding-history/10901/1381687/"
"Cyient DLM Ltd","CYIENTDLM","543933","Technology","603197947.8","607846000","0.1","1256139","","","/mutual-fund/holding-history/10901/1513580/"
"IndiaMART InterMESH Ltd","INDIAMART","542726","Communication Services","665972753.6","604006000","0.1","258952","","","/mutual-fund/holding-history/10901/149049/"
"Sanathan Textiles Ltd","SANATHAN","544314","Consumer Cyclical","596373307.15","578158000","0.09","1243351","","","/mutual-fund/holding-history/10901/2863354/"
"Gabriel India Ltd","GABRIEL","505714","Consumer Cyclical","793480874","571714000","0.09","868141","","","/mutual-fund/holding-history/10901/429/"
"3M India Ltd","3MINDIA","523395","Industrials","520016460","530990000","0.08","18138","","","/mutual-fund/holding-history/10901/10/"
"Aeroflex Industries Ltd","AEROFLEX","543972","Industrials","598934249.28","486253000","0.08","2931354","","","/mutual-fund/holding-history/10901/1617407/"
"Sheela Foam Ltd","SFL","540203","Consumer Cyclical","538513474.8","478006000","0.08","761096","-77834","-9.28","/mutual-fund/holding-history/10901/4957/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","487325000","474450000","0.08","500000","500000","New","/mutual-fund/holding-history/10901/677/"
"Bata India Ltd","BATAINDIA","500043","Consumer Cyclical","441931045.6","452127000","0.07","357752","357752","New","/mutual-fund/holding-history/10901/168/"
"Capital Small Finance Bank Ltd","CAPITALSFB","544120","Financial Services","422211721.6","444115000","0.07","1495084","","","/mutual-fund/holding-history/10901/1998221/"
"Afcons Infrastructure Ltd","AFCONS","544280","Industrials","435856725","424615000","0.07","1003700","","","/mutual-fund/holding-history/10901/2734936/"
"P N Gadgil Jewellers Ltd","PNGJL","544256","Consumer Cyclical","461121324","421753000","0.07","768920","128972","20.15","/mutual-fund/holding-history/10901/2618334/"
"Wonderla Holidays Ltd","WONDERLA","538268","Consumer Cyclical","400226560","411420000","0.07","625354","","","/mutual-fund/holding-history/10901/1528/"
