"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Max Financial Services Ltd","MFSL","500271","Financial Services","40741994995.1","38377105000","4.81","25538767","","","/mutual-fund/holding-history/8750/845/"
"The Federal Bank Ltd","FEDERALBNK","500469","Financial Services","26524965750","25828320000","3.24","127825000","","","/mutual-fund/holding-history/8750/412/"
"Coforge Ltd","COFORGE","532541","Technology","5503547840","25686728000","3.22","3004120","","","/mutual-fund/holding-history/8750/942/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","22911801688.8","23402147000","2.94","9466122","100000","1.07","/mutual-fund/holding-history/8750/153/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","22065639653.6","23212584000","2.91","16291819","193676","1.2","/mutual-fund/holding-history/8750/642/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","21781968067.5","22825948000","2.86","55530830","","","/mutual-fund/holding-history/8750/556/"
"Indian Bank","INDIANB","532814","Financial Services","22689461843.3","22724474000","2.85","36854482","","","/mutual-fund/holding-history/8750/609/"
"AU Small Finance Bank Ltd","AUBANK","540611","Financial Services","23446419315.55","20430679000","2.56","29479373","987789","3.47","/mutual-fund/holding-history/8750/54902/"
"Apollo Tyres Ltd","APOLLOTYRE","500877","Consumer Cyclical","18424183842.6","19712369000","2.47","41892187","","","/mutual-fund/holding-history/8750/94/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","18877351117.55","18980903000","2.38","24655327","-6785702","-21.58","/mutual-fund/holding-history/8750/606/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","20382385617","18818618000","2.36","3337818","","","/mutual-fund/holding-history/8750/1023/"
"Tata Communications Ltd","TATACOMM","500483","Communication Services","18361738615.5","18602566000","2.33","11098059","","","/mutual-fund/holding-history/8750/1357/"
"Fortis Healthcare Ltd","FORTIS","532843","Healthcare","19241745174.75","17994630000","2.26","25477319","","","/mutual-fund/holding-history/8750/424/"
"Marico Ltd","MARICO","531642","Consumer Defensive","15291251475","15801842000","1.98","22055750","","","/mutual-fund/holding-history/8750/840/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","14641854214","15317098000","1.92","13344745","","","/mutual-fund/holding-history/8750/132/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","13740120913.65","14501975000","1.82","15282933","","","/mutual-fund/holding-history/8750/677/"
"Mahindra & Mahindra Financial Services Ltd","M&MFIN","532720","Financial Services","14466432323.2","14383798000","1.8","55089232","","","/mutual-fund/holding-history/8750/808/"
