"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Page Industries Ltd","PAGEIND","532827","Consumer Cyclical","320312160","308473000","1.01","6651","","","/mutual-fund/holding-history/22851/994/"
"Procter & Gamble Hygiene and Health Care Ltd","PGHH","500459","Consumer Defensive","302621616","308411000","1.01","22704","3164","16.19","/mutual-fund/holding-history/22851/1032/"
"Tata Communications Ltd","TATACOMM","500483","Communication Services","304668972.9","286243000","0.94","170769","40543","31.13","/mutual-fund/holding-history/22851/1357/"
"Manorama Industries Ltd","MANORAMA","541974","Consumer Defensive","272577187.2","283504000","0.93","194088","159","0.08","/mutual-fund/holding-history/22851/110310/"
"Arvind Fashions Ltd","ARVINDFASN","542484","Consumer Cyclical","283823988.8","280203000","0.92","608542","104327","20.69","/mutual-fund/holding-history/22851/130968/"
"3M India Ltd","3MINDIA","523395","Industrials","265259335","270999000","0.89","9257","-409","-4.23","/mutual-fund/holding-history/22851/10/"
"UNO Minda Ltd","UNOMINDA","532539","Consumer Cyclical","294996744","266092000","0.87","264334","","","/mutual-fund/holding-history/22851/864/"
"SRF Ltd","SRF","503806","Industrials","294036695","258763000","0.85","90445","-10020","-9.97","/mutual-fund/holding-history/22851/1283/"
"ISGEC Heavy Engineering Ltd","ISGEC","533033","Industrials","252642371.6","255827000","0.84","210922","","","/mutual-fund/holding-history/22851/3892/"
"Kennametal India Ltd","","505890","Industrials","242169349.5","254851000","0.83","100967","-4215","-4.01","/mutual-fund/holding-history/22851/2255/"
"Jubilant Foodworks Ltd","JUBLFOOD","533155","Consumer Cyclical","258986507","239631000","0.78","365542","","","/mutual-fund/holding-history/22851/701/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","225569361.6","214798000","0.7","95832","-16414","-14.62","/mutual-fund/holding-history/22851/67/"
"Cipla Ltd","CIPLA","500087","Healthcare","218402551.5","212431000","0.7","144935","50879","54.09","/mutual-fund/holding-history/22851/268/"
"Afcons Infrastructure Ltd","AFCONS","544280","Industrials","184928194.7","180616000","0.59","426938","34679","8.84","/mutual-fund/holding-history/22851/2734936/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","190183255.5","178843000","0.59","31721","","","/mutual-fund/holding-history/22851/1023/"
"Housing & Urban Development Corp Ltd","HUDCO","540530","Financial Services","155378684.88","161178000","0.53","668123","-127676","-16.04","/mutual-fund/holding-history/22851/54143/"
