"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"HDFC Bank Ltd","HDFCBANK","500180","Financial Services","13047300000","12933585000","2.05","6650000","","","/mutual-fund/holding-history/10906/533/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","14841398180","12220368000","1.94","1851010","","","/mutual-fund/holding-history/10906/853/"
"Kirloskar Brothers Ltd","KIRLOSBROS","500241","Industrials","8061461538","8104394000","1.29","4472130","","","/mutual-fund/holding-history/10906/744/"
"Tube Investments of India Ltd Ordinary Shares","TIINDIA","540762","Industrials","7321720771.2","7652868000","1.21","2499222","","","/mutual-fund/holding-history/10906/67548/"
"State Bank of India","SBIN","500112","Financial Services","7231770000","7391930000","1.17","9100000","","","/mutual-fund/holding-history/10906/1193/"
"Apar Industries Ltd","APARINDS","532259","Industrials","6999925464","7296685000","1.16","899271","","","/mutual-fund/holding-history/10906/88/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","6835125000","7145325000","1.13","27500000","","","/mutual-fund/holding-history/10906/189/"
"Karur Vysya Bank Ltd","KARURVYSYA","590003","Financial Services","7896750203.9","7046209000","1.12","31784062","","","/mutual-fund/holding-history/10906/721/"
"Pfizer Ltd","PFIZER","500680","Healthcare","6845237576.5","6770218000","1.07","1206103","","","/mutual-fund/holding-history/10906/1027/"
"Paradeep Phosphates Ltd","PARADEEP","543530","Basic Materials","6434504924.8","6726556000","1.07","39044326","","","/mutual-fund/holding-history/10906/895889/"
"NLC India Ltd","NLCINDIA","513683","Utilities","6036116770.6","6572594000","1.04","27190940","","","/mutual-fund/holding-history/10906/935/"
"Zydus Wellness Ltd","ZYDUSWELL","531335","Consumer Defensive","6793989142","6533894000","1.04","3351746","33708","1.02","/mutual-fund/holding-history/10906/1550/"
"Balrampur Chini Mills Ltd","BALRAMCHIN","500038","Consumer Defensive","6548291376","6529487000","1.04","11061303","","","/mutual-fund/holding-history/10906/157/"
"eClerx Services Ltd","ECLERX","532927","Technology","6037566347","6242349000","0.99","1762330","","","/mutual-fund/holding-history/10906/356/"
"AWL Agri Business Ltd","AWL","543458","Consumer Defensive","5779343318.15","6182919000","0.98","22483343","","","/mutual-fund/holding-history/10906/755501/"
"TD Power Systems Ltd","TDPOWERSYS","533553","Industrials","5999880664","6059792000","0.96","11633312","-825000","-6.62","/mutual-fund/holding-history/10906/1373/"
"ELANTAS Beck India Ltd","","500123","Basic Materials","6701367948","5975443000","0.95","614748","","","/mutual-fund/holding-history/10906/2035/"
"Emami Ltd","EMAMILTD","531162","Consumer Defensive","5538404993","5824548000","0.92","9970126","","","/mutual-fund/holding-history/10906/374/"
"PNB Housing Finance Ltd","PNBHOUSING","540173","Financial Services","5692799238","5708643000","0.91","5463339","1073987","24.47","/mutual-fund/holding-history/10906/4826/"
"Radico Khaitan Ltd","RADICO","532497","Consumer Defensive","5886097605.6","5645376000","0.9","2228907","","","/mutual-fund/holding-history/10906/1090/"
"Central Depository Services (India) Ltd","CDSL","","Financial Services","5927102465.6","5399410000","0.86","3529718","-500000","-12.41","/mutual-fund/holding-history/10906/53219/"
"Aster DM Healthcare Ltd Ordinary Shares","ASTERDM","540975","Healthcare","5386692787.2","5396341000","0.86","9648384","","","/mutual-fund/holding-history/10906/77534/"
"Gokaldas Exports Ltd","GOKEX","532630","Consumer Cyclical","4716872493.9","5344746000","0.85","5394102","","","/mutual-fund/holding-history/10906/480/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","5468381056.6","5341690000","0.85","3759371","","","/mutual-fund/holding-history/10906/1127/"
"Voltamp Transformers Ltd","VOLTAMP","532757","Industrials","5528505980","5323877000","0.84","642476","","","/mutual-fund/holding-history/10906/1499/"
"Whirlpool of India Ltd","WHIRLPOOL","500238","Consumer Cyclical","5780527525.2","5310849000","0.84","4297151","124322","2.98","/mutual-fund/holding-history/10906/1521/"
"AstraZeneca Pharma India Ltd","ASTRAZEN","506820","Healthcare","5936823612.5","5246174000","0.83","658075","","","/mutual-fund/holding-history/10906/124/"
"Dixon Technologies (India) Ltd","DIXON","540699","Technology","4924775360","5144316000","0.82","350144","-120000","-25.52","/mutual-fund/holding-history/10906/60393/"
"Kirloskar Pneumatic Co Ltd","","505283","Industrials","5441371630.4","5143540000","0.82","4102361","","","/mutual-fund/holding-history/10906/2214/"
"ISGEC Heavy Engineering Ltd","ISGEC","533033","Industrials","4964948044.2","5076703000","0.81","4185591","","","/mutual-fund/holding-history/10906/3892/"
"Axis Bank Ltd","AXISBANK","532215","Financial Services","5090028160.8","4980983000","0.79","4177976","","","/mutual-fund/holding-history/10906/140/"
"Sundaram Fasteners Ltd","SUNDRMFAST","500403","Consumer Cyclical","4666403704","4966884000","0.79","4838660","135967","2.89","/mutual-fund/holding-history/10906/1313/"
"Inox Wind Ltd","INOXWIND","539083","Industrials","4232834719.2","4831155000","0.77","24775152","","","/mutual-fund/holding-history/10906/1627/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","4790651490","4751113000","0.75","2103100","","","/mutual-fund/holding-history/10906/117/"
"Affle 3i Ltd","AFFLE","542752","Communication Services","4926832288","4491077000","0.71","2587622","","","/mutual-fund/holding-history/10906/154217/"
