"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Bandhan Bank Ltd","BANDHANBNK","541153","Financial Services","219165072","203003000","0.02","1192800","366800","44.41","/mutual-fund/holding-history/15631/79883/"
"Swaraj Engines Ltd","SWARAJENG","500407","Consumer Cyclical","186897206.7","185776000","0.02","47293","","","/mutual-fund/holding-history/15631/1339/"
"Hero MotoCorp Ltd","HEROMOTOCO","500182","Consumer Cyclical","177771600","178405000","0.02","41400","-1200","-2.82","/mutual-fund/holding-history/15631/540/"
"Tata Consumer Products Ltd","TATACONSUM","500800","Consumer Defensive","168600619.2","170512000","0.02","154128","","","/mutual-fund/holding-history/15631/1359/"
"Birlasoft Ltd","BSOFT","532400","Technology","187786250","170213000","0.02","425000","","","/mutual-fund/holding-history/15631/763/"
"IndusInd Bank Ltd","INDUSINDBK","532187","Financial Services","170729850","162165000","0.02","198500","","","/mutual-fund/holding-history/15631/625/"
"Vedanta Ltd","VEDL","500295","Basic Materials","165398175","155274000","0.01","356500","-103500","-22.5","/mutual-fund/holding-history/15631/1289/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","147516687.5","154089000","0.01","323750","","","/mutual-fund/holding-history/15631/4813/"
"GMR Airports Ltd","GMRAIRPORT","532754","Industrials","151314412.5","143304000","0.01","1704375","39375","2.36","/mutual-fund/holding-history/15631/472/"
"Eicher Motors Ltd","EICHERMOT","505200","Consumer Cyclical","145817437.5","135338000","0.01","25375","7350","40.78","/mutual-fund/holding-history/15631/360/"
"Bajaj Finserv Ltd","BAJAJFINSV","532978","Financial Services","120963000","123061000","0.01","61000","","","/mutual-fund/holding-history/15631/147/"
"HDFC Life Insurance Co Ltd","HDFCLIFE","540777","Financial Services","103666200","102544000","0.01","132000","","","/mutual-fund/holding-history/15631/65394/"
"NMDC Ltd","NMDC","526371","Basic Materials","96876000","99923000","0.01","1404000","1404000","New","/mutual-fund/holding-history/15631/949/"
"Indian Railway Catering And Tourism Corp Ltd","IRCTC","542830","Industrials","102184687.5","99225000","0.01","131250","","","/mutual-fund/holding-history/15631/167028/"
"Hindustan Petroleum Corp Ltd","HINDPETRO","500104","Energy","102232125","95723000","0.01","232875","","","/mutual-fund/holding-history/15631/556/"
"LIC Housing Finance Ltd","LICHSGFIN","500253","Financial Services","97728000","95432000","0.01","160000","","","/mutual-fund/holding-history/15631/790/"
"Biocon Ltd","BIOCON","532523","Healthcare","95416625","86481000","0.01","257500","","","/mutual-fund/holding-history/15631/197/"
"Nesco Ltd","NESCO","505355","Industrials","106369694.1","82848000","0.01","89469","89469","New","/mutual-fund/holding-history/15631/929/"
"GAIL (India) Ltd","GAIL","532155","Utilities","82844832","81623000","0.01","430050","401850","1425","/mutual-fund/holding-history/15631/431/"
"Titan Co Ltd","TITAN","500114","Consumer Cyclical","76307945","73411000","0.01","20650","","","/mutual-fund/holding-history/15631/1403/"
"Tata Steel Ltd","TATASTEEL","500470","Basic Materials","70732970","68192000","0.01","423500","","","/mutual-fund/holding-history/15631/1366/"
"Tata Chemicals Ltd","TATACHEM","500770","Basic Materials","71402925","67335000","0.01","75900","","","/mutual-fund/holding-history/15631/1355/"
"REC Ltd","RECLTD","532955","Financial Services","59332500","60345000","0.01","150000","150000","New","/mutual-fund/holding-history/15631/1119/"
"Bharat Heavy Electricals Ltd","BHEL","500103","Industrials","59229056.25","59339000","0.01","228375","","","/mutual-fund/holding-history/15631/189/"
"IIFL Finance Ltd","IIFL","532636","Financial Services","58809170","55397000","0.01","127100","","","/mutual-fund/holding-history/15631/598/"
"Asian Paints Ltd","ASIANPAINT","500820","Basic Materials","44502640","41116000","0","18200","18200","New","/mutual-fund/holding-history/15631/117/"
"State Bank of India","SBIN","500112","Financial Services","38336287.5","38381000","0","47250","47250","New","/mutual-fund/holding-history/15631/1193/"
"Tata Power Co Ltd","TATAPOWER","500400","Utilities","35684550","34998000","0","89100","89100","New","/mutual-fund/holding-history/15631/1364/"
"Tech Mahindra Ltd","TECHM","532755","Technology","32338560","30219000","0","19200","","","/mutual-fund/holding-history/15631/1374/"
"JSW Steel Ltd","JSWSTEEL","500228","Basic Materials","28525500","26825000","0","27000","24300","900","/mutual-fund/holding-history/15631/699/"
"Aurobindo Pharma Ltd","AUROPHARMA","524804","Healthcare","26701290","26514000","0","23100","","","/mutual-fund/holding-history/15631/132/"
"Polycab India Ltd","POLYCAB","542652","Industrials","28179937.5","24713000","0","4125","-6375","-60.71","/mutual-fund/holding-history/15631/139599/"
"Godrej Properties Ltd","GODREJPROP","533150","Real Estate","19946452.5","19689000","0","8775","","","/mutual-fund/holding-history/15631/478/"
"PI Industries Ltd","PIIND","523642","Basic Materials","20606625","18641000","0","4875","-375","-7.14","/mutual-fund/holding-history/15631/1038/"
"Mahanagar Gas Ltd","MGL","539957","Utilities","12689880","11132000","0","8400","","","/mutual-fund/holding-history/15631/4581/"
"Indus Towers Ltd Ordinary Shares","INDUSTOWER","534816","Communication Services","12259380","11102000","0","28900","","","/mutual-fund/holding-history/15631/629/"
"Jindal Steel & Power Ltd","JINDALSTEL","532286","Basic Materials","8518125","8303000","0","8750","","","/mutual-fund/holding-history/15631/677/"
"Indian Hotels Co Ltd","INDHOTEL","500850","Consumer Cyclical","5993200","6159000","0","8000","","","/mutual-fund/holding-history/15631/606/"
"United Spirits Ltd","UNITDSPR","532432","Consumer Defensive","1940820","2128000","0","1400","","","/mutual-fund/holding-history/15631/851/"
"Tata Communications Ltd","TATACOMM","500483","Communication Services","1874145","1760000","0","1050","300","40","/mutual-fund/holding-history/15631/1357/"
