"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Central Depository Services (India) Ltd","CDSL","","Financial Services","2554995046.8","2255006000","0.9","1474149","","","/mutual-fund/holding-history/8029/53219/"
"3M India Ltd","3MINDIA","523395","Industrials","2106539865","2171824000","0.87","74187","","","/mutual-fund/holding-history/8029/10/"
"State Bank of India","SBIN","500112","Financial Services","1910432358.4","1957422000","0.78","2409728","-1774424","-42.41","/mutual-fund/holding-history/8029/1193/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","1909514043.2","1927901000","0.77","1149202","","","/mutual-fund/holding-history/8029/1316/"
"Ajanta Pharma Ltd","AJANTPHARM","532331","Healthcare","1932481260","1891647000","0.75","753404","","","/mutual-fund/holding-history/8029/49/"
"Pidilite Industries Ltd","PIDILITIND","500331","Basic Materials","1766146115.2","1860765000","0.74","598856","","","/mutual-fund/holding-history/8029/1037/"
"Bharat Forge Ltd","BHARATFORG","500493","Consumer Cyclical","1793225452","1716324000","0.68","1383128","","","/mutual-fund/holding-history/8029/184/"
"ZF Commercial Vehicle Control Systems India Ltd","ZFCVINDIA","533023","Consumer Cyclical","1623303344","1664263000","0.66","124496","","","/mutual-fund/holding-history/8029/1508/"
"Persistent Systems Ltd","PERSISTENT","533179","Technology","1806362546","1658271000","0.66","294124","","","/mutual-fund/holding-history/8029/1023/"
"Varun Beverages Ltd","VBL","540180","Consumer Defensive","1591596487.2","1633291000","0.65","3431644","","","/mutual-fund/holding-history/8029/4813/"
"ITC Hotels Ltd","ITCHOTELS","544325","Consumer Cyclical","1487907782.75","1516776000","0.6","7006865","608427","9.51","/mutual-fund/holding-history/8029/2956218/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","1802128774.5","1429921000","0.57","216589","","","/mutual-fund/holding-history/8029/853/"
"PB Fintech Ltd","POLICYBZR","543390","Financial Services","1523170638","1410883000","0.56","800910","","","/mutual-fund/holding-history/8029/710819/"
"GE Vernova T&D India Ltd","GVT&D","522275","Industrials","1350435846.6","1293588000","0.52","577134","","","/mutual-fund/holding-history/8029/67/"
"Indian Bank","INDIANB","532814","Financial Services","1225833499.8","1224245000","0.49","1985477","31520","1.61","/mutual-fund/holding-history/8029/609/"
"CG Power & Industrial Solutions Ltd","CGPOWER","500093","Industrials","1183287213","1193191000","0.48","1737573","","","/mutual-fund/holding-history/8029/293/"
"Blue Dart Express Ltd","BLUEDART","526612","Industrials","1083266615","1159711000","0.46","175130","","","/mutual-fund/holding-history/8029/208/"
"Schaeffler India Ltd","SCHAEFFLER","505790","Consumer Cyclical","1053871693.5","1134941000","0.45","270953","","","/mutual-fund/holding-history/8029/406/"
"Waaree Energies Ltd","WAAREEENER","544277","Technology","1083001783.5","1090322000","0.43","366015","294","0.08","/mutual-fund/holding-history/8029/2723026/"
"Cello World Ltd","CELLO","544012","Consumer Cyclical","891597861.35","958668000","0.38","1556153","","","/mutual-fund/holding-history/8029/1767397/"
"Vishal Mega Mart Ltd","VMM","544307","Consumer Cyclical","907821567.9","869060000","0.35","6971445","","","/mutual-fund/holding-history/8029/2839786/"
"Bharti Hexacom Ltd","BHARTIHEXA","544162","Communication Services","762471702","777810000","0.31","424870","269593","173.62","/mutual-fund/holding-history/8029/2170198/"
"K.P.R. Mill Ltd","KPRMILL","532889","Consumer Cyclical","736269233.7","753253000","0.3","668667","668667","New","/mutual-fund/holding-history/8029/764/"
"Swiggy Ltd","SWIGGY","544285","Consumer Cyclical","852754865","720380000","0.29","2162980","292719","15.65","/mutual-fund/holding-history/8029/2755533/"
"Samvardhana Motherson International Ltd","MOTHERSON","517334","Consumer Cyclical","664701008.78","685012000","0.27","4473691","","","/mutual-fund/holding-history/8029/878/"
"Navin Fluorine International Ltd","NAVINFLUOR","532504","Basic Materials","743443450.2","679397000","0.27","159438","-26715","-14.35","/mutual-fund/holding-history/8029/914/"
