"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Infosys Ltd","INFY","500209","Technology","15041121662.6","14543225000","1.4","9306473","","","/mutual-fund/holding-history/15630/630/"
"Zydus Lifesciences Ltd","ZYDUSLIFE","532321","Healthcare","13588288555","13260345000","1.28","14258435","322152","2.31","/mutual-fund/holding-history/15630/229/"
"Cipla Ltd","CIPLA","500087","Healthcare","13328207651.4","13018229000","1.25","8881919","887725","11.1","/mutual-fund/holding-history/15630/268/"
"Dr Reddy's Laboratories Ltd","DRREDDY","500124","Healthcare","13682838650","12939285000","1.25","10341500","-62170","-0.6","/mutual-fund/holding-history/15630/346/"
"Balkrishna Industries Ltd","BALKRISIND","502355","Consumer Cyclical","10099857414","10356229000","1","4189074","","","/mutual-fund/holding-history/15630/153/"
"Reliance Industries Ltd","RELIANCE","500325","Energy","9419124000","9217378000","0.89","6487000","","","/mutual-fund/holding-history/15630/1127/"
"Indian Energy Exchange Ltd","IEX","540750","Financial Services","8045598288","8865630000","0.85","44206584","","","/mutual-fund/holding-history/15630/63143/"
"Multi Commodity Exchange of India Ltd","MCX","534091","Financial Services","6325113951","5266541000","0.51","797719","","","/mutual-fund/holding-history/15630/853/"
"Motilal Oswal Financial Services Ltd","MOTILALOFS","532892","Financial Services","4479119308.6","4367492000","0.42","5392631","-3193318","-37.19","/mutual-fund/holding-history/15630/879/"
"Narayana Hrudayalaya Ltd","NH","539551","Healthcare","3768086040.6","3480674000","0.34","1995914","","","/mutual-fund/holding-history/15630/1886/"
"Central Depository Services (India) Ltd","CDSL","","Financial Services","3818120658","3464163000","0.33","2264603","","","/mutual-fund/holding-history/15630/53219/"
"E I D Parry India Ltd","EIDPARRY","500125","Basic Materials","3112152627.2","3081344000","0.3","3243008","254799","8.53","/mutual-fund/holding-history/15630/361/"
"Bajaj Finance Ltd","BAJFINANCE","500034","Financial Services","265695750","2716280000","0.26","295875","13250","4.69","/mutual-fund/holding-history/15630/150/"
"Ipca Laboratories Ltd","IPCALAB","524494","Healthcare","2192502920","2338232000","0.23","1641095","-216122","-11.64","/mutual-fund/holding-history/15630/642/"
"Tata Consultancy Services Ltd","TCS","532540","Technology","1967363335","1986173000","0.19","573475","10500","1.87","/mutual-fund/holding-history/15630/1372/"
"ICRA Ltd","ICRA","532835","Financial Services","1926970065","1937029000","0.19","287393","","","/mutual-fund/holding-history/15630/586/"
"Jio Financial Services Ltd","JIOFIN","543940","Financial Services","1594276200","1565066000","0.15","5459850","320100","6.23","/mutual-fund/holding-history/15630/1564869/"
"Larsen & Toubro Ltd","LT","500510","Industrials","1084800150","1093158000","0.11","297450","","","/mutual-fund/holding-history/15630/800/"
"Maharashtra Scooters Ltd","MAHSCOOTER","500266","Consumer Cyclical","1121023615","1072207000","0.1","80159","","","/mutual-fund/holding-history/15630/819/"
"Tata Motors Ltd","TATAMOTORS","500570","Consumer Cyclical","852795900","907002000","0.09","1260600","","","/mutual-fund/holding-history/15630/1362/"
"Sun Pharmaceuticals Industries Ltd","SUNPHARMA","524715","Healthcare","776599915","786207000","0.08","468650","4900","1.06","/mutual-fund/holding-history/15630/1316/"
"Hindalco Industries Ltd","HINDALCO","500440","Basic Materials","754724460","732579000","0.07","1156400","93800","8.83","/mutual-fund/holding-history/15630/549/"
"NTPC Ltd","NTPC","532555","Utilities","598388700","599017000","0.06","1794000","1392000","346.27","/mutual-fund/holding-history/15630/959/"
